Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
"200 sq. meters House and Lot for Sale at Tagaytay, Cavite - 8M ",2,2,0,180,200,,8000000,House
Zen Inspired Townhouse located in an Exclusive Subdivision at North Talamban,3,3,2,165,138,Pristina North,16500000,House
For Sale Brand new Semi-Furnished 2 Storey Single House and Lot Katarungan ,4,4,2,184,157,,15950000,House
"Elegant Modern Design 5BR Duplex House  For Sale in BF Resort Village, Las Piñas",5,5,2,250,189,BF Resort Village,15000000,House
"Bungalow House and Lot For Sale in Pilar Village, Las Piñas City",3,3,4,180,263,Pilar Village,11500000,House
"5-Storey Residential House & Lot with 7 Bedroom, 4 T&B For Sale in Dasmariñas",4,7,0,249,71,Golden City Dasma,3240000,House
Makati House for Sale in San Miguel Village 5 Bedroom 5BR Semi furnished ,6.5,5,2,450,344,San Miguel Village,85000000,House
"For Sale 5 Bedrooms House in Greenwoods Executive Village, Pasig",5,5,2,220,150,Greenwoods Executive Village,13500000,House
"L-R-1-1103 - Acquired Property for Sale in Lot 11, Block 3, (LRC) PSD-41084, Road Lot 1, Abacan Subdivision, Brgy. Calicanto, Batangas City, Batangas",1,1,0,185.37,346,,4317080,House
"L-R-1-967- Acquired Property for Sale in Lot 7, Block 1, Camella Heights of Wedgewood, Brgy. Minien West, Santa Barbara, Pangasinan",1,1,0,90,168,,3144000,House
Elegant Architect Built Townhouse For Sale in Better Living Subd. Parañaque City,4,4,2,135,80,Better Living Subdivision,8000000,House
"For Sale 7K+ per mo. 2BR House & Lot near FCIE, 5mins. away from Robinsons Dasma",1,2,0,44,46,Woodtown Residences,1730200,House
"295 sq.m. House For Sale in Catmon St., San Antonio Village Makati",3,4,4,223,295,San Antonio Village,40000000,House
"L-S-5-201604-25- Acquired Property for Sale in Block 1, Lot 33, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",1,1,0,63,50,Kensington Village,2235025,House
"L-R-1-816- Acquired Property for Sale in Lot 30, Block 5, 4th Street, Camella Isabela Subdivision, Brgy. Malvar, Santiago City, Isabela - Retail",1,1,0,93,92,,3076600,House
"M-R-1-189- Acquired Property for Sale in Lot 40, Block 32, Mt. Rainier St., Mountain View Subdivision, Brgy. Sta. Elena, Marikina City",1,1,0,327,315,,11751000,House
"L-R-1-971- Acquired Property for Sale in Lot 10, Block 5, Norfolk St., Solana Country Homes, Phase 1, Brgy. San Isidro, Bacolor, Pampanga",1,1,0,61,120,,1649200,House
"Foreclosed Property for Sale in Block 7, Lot 25 Leonito St, Camella Sorrento Subd. Ph. 2, Brgy. Panipuan, Mexico, Pampanga",1,1,0,52,99,,2340000,House
"L-S-5-201604-41 - Acquired Property for Sale in Lot 1, Block 2, Kensington Village, Lancaster New City, Phase 5, Brgy. Navarro, General Trias, Cavite",1,1,0,60,105,,2777250,House
"L-R-1-954- Acquired Property for Sale in Lot 5, Block 4, Portico St., Camella Batangas, Phase 1, Brgy. Alangilan, Batangas City, Batangas",1,1,0,96,134,,4813200,House
"L-R-1-951- Acquired Property for Sale in Lot 2, Block 8, Opal St., Taglesville Subdivsion, Brgy. San Jose / Tenejero, Balanga City, Bataan",1,1,0,275,250,,4700000,House
"L-R-1-524- Acquired Property for Sale in Lots 2138-B-2-C and 2138-B-2-B-2, Brgy. Canlalay, Bi",1,1,0,177,421,,3507100,House
"L-S-5-201604-29- Acquired Property for Sale in Block 9, Lot 17, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",1,1,0,63,50,Kensington Village,2235025,House
"Foreclosed Property for Sale in 76 Trece Martires St., Justinville Subd, Brgy Panapaan, Bacoor, Cavite",1,1,0,180,180,,1332000,House
"L-R-1-1008 - Acquired Property for Sale in No. 103, Along Lot 12306 M, Brgy. Poblacion E, Rosario, Batangas",1,1,0,318,427,,5837400,House
"3 Bedroom Single House and Lot for sale in Pilar, Las Piñas, Metro Manila",3,3,2,128,96,,7872000,House
"Foreclosed Property for Sale in Block 4, Lot 20 Along 2Nd Street, Camella Isabela Subd., (Phase 1), Brgy. Malvar, Santiago City, Isabela",1,1,0,64,91,,2994000,House
"L-S-1-201604-100 - Acquired Property for Sale in Lot 30, Block 10, Manchester Village, Lancaster New City, Phase 3, Brgy. Navarro, General Trias, Cavite",1,1,0,84,128,,3747160,House
3 Bedrooms House and Lot at Camella Sierra Metro East (Hannah Model),2,3,0,60,112,Camelle Sierra Metro East,6871000,House
"For Sale 3 Bedroom House & Lot Located In Marilao, Bulacan Amaresa Marilao",3,3,0,147,110,Amaresa Marilao,6557100,House
"L-TH-1-12- Acquired Property for Sale in Block 4, Lot 63, Summerfield Villas, Brgy. San Juan, Taytay, Rizal - Sub",1,1,0,67,45,,2046471,House
"L-R-1-996- Acquired Property for Sale at Lot 21, Block 11, Rebutia St., Crestwood Subdivision, Brgy. San Luis, Antipolo, Rizal",1,1,0,80,72,,3316800,House
"M-C-1-14 - Acquired Property for Sale in No. 770 (Lot 1), Gen. Kalentong St., Brgy. Pag-asa, Mandaluyong City (With Authority to Sell)",1,1,0,352,570,,120000000,House
"L-S-5-201604-18- Acquired Property for Sale in Block 15, Lot 95, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",1,1,0,60,50,Kensington Village,2081500,House
"Foreclosed Property for Sale in Block 14, Lot 10 Portico Subdivision, Inside Gran Europa,  Brgy. Lumbia, Cagayan De Oro City, Misamis Orie",1,1,0,60,235,,3270000,House
"L-R-1-1083 Acquired Property for Sale in Lot 2-A-7 (PSD-04-127564), corner of Sabang Road & Lot 2-A-5, Brgy. Concepcion, San Pablo City, Laguna",1,1,0,154,261,,3607700,House
"L-R-1-1039-Acquired Property for Sale inLots 17 and 19, Block 2, Road Lot 2 corner Road Lot 3, Dona Crisanta Subdivision, Brgy. San Roque, Rosario, Batangas",1,1,0,250,250,,5200000,House
"V-R-2-87- Acquired Property for Sale in Lot 15, Block 5, Greenmount St., Parc Regency Subdivision, Brgy. Ungka, Pavia, Iloilo City, Iloilo",1,1,0,48,100,,1824000,House
"L-R-1-370- Acquired Property for Sale in No. 374 (Lots 16, 18 & 19, Block 2), corner of Road Lots 1  & 3, Plana Subdivision, Brgy. Malibo Matanda, Pandi, Bulacan - Retail",1,1,0,284,702,,4200000,House
"Iris - American New England 3BR SA House for Sale at Ashton Fields in Calamba, Laguna | Aspire by Filinvest",2,3,1,62.4,110,Ashton Fields,5430000,House
"M-R-2-8- Acquired Property for Sale in No. 86 (Lot 13-B), Hon. B. T. Soliven Ave., Marikina Greenheights Subdivision, Brgy. Concepcion I, Marikina City - Retail",1,1,0,173,,,4778900,House
"L-R-1-423- Acquired Property for Sale in No. 0091 (Lots 13 & 15, Block 18), Hawaii St. (Road Lot 9), Granville Subdivision, Phase 2, Brgy. Turo, Bocaue, Bulacan - Retail",1,1,0,242,240,,5719800,House
"L-R-1-1122- Acquired Property for Sale in Nos. 0786, 0787, 0788 (Lot 8028-C-1, Psd-03-180835 and Lot 1089-A, Psd-035407-065330), Brgy. Natividad, Guagua, Pampanga",1,1,0,443,970,,3202000,House
"L-TH-1-17- Acquired Property for Sale in Block 4, Lot 78, Summerfield Villas, Brgy. San Juan, Taytay, Rizal - Sub",1,1,0,83,45,,2457849,House
"L-R-1-1066- Acquired Property for Sale in Lot 3, Block 6, Camella Homes Lipa, Phase 3, Brgy. Balintawak / Tibig, Lipa City, Batangas",1,1,0,41.9,66,Camella Homes Lipa,1648840,House
"L-TH-1-214:  Acquired Property  for Sale in Lot 21-B, Block 13, Park View Avenue, Palm Springs, Brgy. Bocohan, Lucena City, Quezon",1,1,0,78,60,,2236200,House
,1,1,0,,,,,House
"Newly Built 4 bedroom House for Sale in Ayala Alabang Village, Muntinlupa",5,4,4,500,408,Ayala Alabang Village,110000000,House
3 Bedrooms House and Lot for sale at Camella Sierra Metro East (Cara Model),2,3,0,66,91,Camelle Sierra Metro East,5772000,House
"L-S-3-201604-110 - Acquired Property for Sale in Lot 12, Block 10, corner of Sycamore and Snow Ball Sts., Greenwoods Subdivision, Phase 6, Brgy. Paliparan, Dasmariñas City, Cavite",1,1,0,151,161,,5150850,House
Single Attached House for Sale in Kingspoint Subd Quezon City worth 9.8M  - Rey,3,4,2,150,120,Kingspoint Subdivision,9800000,House
"L-R-1-592- Acquired Property for Sale in Lot 7, Block 13, Lanzones St., Sta. Isabel Village, Brgy. Isabang, Tayabas City, Quezon - Retail",1,1,0,271.2,224,,4985120,House
"L-R-1-793- Acquired Property for Sale in Lot 21, Block 11, Road Lot 10, NHA Subdivision, Brgy. San Jose, San Pablo City, Laguna - Retail",1,1,0,122,80,,2247600,House
"L-R-1-129- Acquired Property for Sale in No. 9 (Lot 10, Block 3), Inglewood St., Laguna Bel-Air 1 Subdivision, Brgy. Don Jose, Sta. Rosa City, Laguna - Retail",1,1,0,227.75,146,,6202000,House
"L-R-1-1053- Acquired Property for Sale in, Lot 5, Block 12, Camella Tarlac, Phase 4, Brgy. Maliwalo, Tarlac City, Tarlac",1,1,0,94,121,,3332000,House
Elegant 3 Bedroom Townhouse in Kamias,3,3,0,268.64,100,,27500000,House
"Foreclosed Property for Sale in Block 17, Lot 8 Dogwood St., Greenwoods Village Phase 1, Brgy. Paliparan, Dasmarinas City, Cavite",1,1,0,113.74,110,,3172284,House
"L-R-1-841- Acquired Property for Sale in Lot 6, Block 2, Road Lot 4, Carmona Estates, Ph 7, Brgy. Lantic, Carmona, Cavite - Retail",1,1,0,104,88,,2992000,House
"L-TH-1-141- Acquired Property for Sale in Lot 21, Block 31, Road Lot 11, Cedar Village, Phase VI, Carmona Estates Subd., Brgy. Lantic, Carmona, Cavite - Retail",1,1,0,80,40,,2000000,House
"For Sale Townhouse Kapitolyo, Pasig City",2,3,0,278,172,,38000000,House
"Foreclosed Property for Sale in Block 6 , Lot 22 Romagna Street, Maia Alta Subdivision, Brgy Dalig, Antipolo City Province Of Rizal",1,1,0,121,120,,4840000,House
"L-R-1-11- Acquired Property for Sale in Lot 1, Pcs 04-025533, Arumahan - Bagong Pook Road, Brgy. Arumahan, Lemery, Batangas - Retail",1,1,0,233.21,600,,3860400,House
"L-R-1-898- Acquired Property for Sale in Lots 5 and 7, Block 12, Road Lot 7, Betzaida Village, Brgy. Dumantay, Batangas City, Batangas",1,1,0,72,133,Betzaida Village,2346000,House
,1,1,0,,,,,House
"Foreclosed Property for Sale in Block 11, Lot 12 Exequiel Corner Ester Street, Goldenville Subdivision, Barangay Longos, Malolos City",1,1,0,200.76,140,,3564000,House
"Danessa Single Attached 1BR House for Sale at Aldea Real in Ciudad de Calamba, Laguna | Futura by Filinvest",1,1,0,37.3,70,Aldea Real,1960000,House
,1,1,0,,,,,House
4 Bedroom House and Lot Unit for sale at Camella Calamba (Dani Model),3,4,0,83,99,Camella Calamba,5706000,House
"Danessa 2BR SA House for Sale at Meridian Place in General Trias, Cavite | Futura by Filinvest",1,2,0,37.3,70,Meridian Place,1700000,House
"Foreclosed Property for Sale in Block 7, Lot 11, Carmel Village Phase 1 Brgy Majada And Brgy Barandal Calamba City Laguna",1,1,0,48,80,,1477300,House
"L-TH-1-74- Acquired Property for Sale in Lot 12, Block 14, Road Lot 46, Camella Homes Tarlac, Phase 2, Brgy. Maliwalo, Tarlac City, Tarlac - Retail",1,1,0,40,48,,1264000,House
"L-R-1-760- Acquired Property for Sale in Lot 14, Block 45, Road Lot 2, Kalipulo Street, Calmar Homes, Phase 8-A, Brgy. Kanlurang Mayao, Lucena City, Quezon - Retail",1,1,0,58,60,,1718200,House
"L-R-1-1- Acquired Property for Sale in No. 310, (Lot 3, Block 4), 3rd St.,  St. Michael Village, Brgy. Balagtas, Orion, Bataan - Retail",1,1,0,196,337,,3885000,House
"Foreclosed Property for Sale in Lot 1-J & 1-I,  Brgy San Isidro  General Santos City",1,1,0,141,336,,5240000,House
"L-R-1-1145:  Acquired Property  for Sale in Lot 14, Block 2, Camella Lessandra Subdivision, Brgy. Sto. Cristo / Kaypian, San Jose Del Monte City, Bulacan",1,1,0,48,66,,1752000,House
"L-TH-1-188- Acquired Property for Sale in Lot 13, Block 17, Road Lot 13, Camella Trece, Brgy. Quintana / Cabuco, Trece Martires City, Cavite",1,1,0,42,54,Camella Trece,1260000,House
"L-R-1-632- Acquired Property for Sale in Lot 8, Block 13, corner of Road Lot 12 and Road Lot 9, GC Berberabe Subdivision, Brgy. Pallocan East, Batangas City, Batangas - Retail",1,1,0,136,163,,4622200,House
"L-S-5-201604-31- Acquired Property for Sale in Block 6, Lot 42, Kensington Village, Lancaster New City, Brgy. Navarro, Gen. Trias, Cavite",1,1,0,50,50,,1840000,House
"L-R-1-622- Acquired Property for Sale in Lot 9, Pcs-03-010424, Himawari Apartment, Unnamed Road, , Brgys. Imelda, DS Garcia, MS Garcia, San Juan Accfa, Cabanatuan City, Nueva Ecija - Retail",1,1,0,252.8,243,,4926528,House
2 Bedroom House and Lot (End Corner) at Phirst Park Homes Calamba,1,2,0,40,102,Phirst Park Homes Calamba,3510142,House
"M-R-2-100- Acquired Property for Sale in Lot 7, PCS-00-010362, Riyal Street, Ecotrend Villas, Brgy. Zapote, Las Piñas City - Retail",1,1,0,123,57,,3870600,House
"L-R-1-983- Acquired Property for Sale in Lot 1, Block 5, Road Lot 10 corner Road Lot 9, San Carlos Homes, Brgy. Mataas na Lupa, Lipa City, Batangas",1,1,0,83,114,,2289800,House
"Foreclosed Property for Sale in Lot 18-A, Mt. Himalayas Street, Montevista Heights Subd., Bargy Dolores, Municipality Of Taytay, Province Of Rizal",1,1,0,85,60,,3400000,House
"L-R-1-56- Acquired Property for Sale in Lot 7, Block 11-A, Road Lot 4, Palm Grove Village, Brgy. Buhay na Tubig/Tanzang Luma, Imus, Cavite - Retail",1,1,0,280,142,,4425000,House
"For sale House and Lot ""2 In 1 House""",2,4,0,140,140,Villa Luisa,2000000,House
Residential House Property for sale near Capital Common Pasig City,3,3,0,300,675,,48000000,House
"L-R-1-161- Acquired Property for Sale in Lot 3, Block 11, Alley 6, Tierracom Homes VI, Brgy. Dita, Sta. Rosa City, Laguna - Retail",1,1,0,86.8,70,,1743300,House
"L-S-1-201604-89- Acquired Property for Sale in Block 4, Lot 18, Camella Quezon, Brgy. Isabang, Tayabas City, Quezon",1,1,0,53,80,,2128420,House
"L-R-1-1054- Acquired Property for Sale in, Lot 24, Block 2, Camella Tarlac, Phase 3, Brgy. Maliwalo, Tarlac City, Tarlac",1,1,0,46,77,,1844000,House
"L-R-1-593- Acquired Property for Sale in Lot 1-A, Brgy. Caanamongan / San Vicente, Sta. Ignacia, Tarlac - Retail",1,1,0,50,1561,,1248800,House
"L-R-1-673- Acquired Property for Sale in Lot 12, Block 15, Canyon Ranch Subdivision, Phase 2, Brgy. Lantic, Carmona, Cavite - Sub",1,1,0,53,106,,2745648,House
"2-Storey Income Generating House and Lot for Sale in San Miguel Village, Makati",4,4,0,481.5,890,San Miguel Village,100000000,House
"Foreclosed Property for Sale in Block 13, Lot 61 Mendelssohn St., North Olympus Subd., Brgy. Kaligayahan, Novaliches, Qc",1,1,0,125,54,,3159000,House
"Caroline 1BR House for Sale in Valle Dulce at Pueblo Solana, Ciudad de Calamba, Laguna | Futura by Filinvest",1,1,1,29.16,70,Valle Dulce,1617600,House
2 Bedroom House and Lot (Mid) at Phirst Park Homes Calamba,1,2,0,40,44,Phirst Park Homes Calamba,2028308,House
"Foreclose Property  for Sale in Block 21 Lot 1 Phase 4 Isabelle Manor, Marcello Village, Parañaque City",1,1,0,418.3,398,,15937000,House
"Foreclosed Property for Sale in Block 70, Lot 41 Dao St., Town And Country Subd., Phase 1-B, Brgy. Abangan Norte, Marilao, Bulacan",1,1,0,104,180,,2581000,House
"L-R-1-1006 - Acquired Property for Sale in Block 88A, Lot 14, Eastborough Place Subdivision, Brgy. Muzon, Angono, Rizal - Sub",1,1,0,380,10001,,12663600,House
"L-R-1-906- Acquired Property for Sale in Lot 25, Block 2, Road Lot 5, Redwood Park Subdivision, Brgy. San Juan, Taytay, Rizal",1,1,0,170,130,,2954000,House
"L-R-1-1024- Acquired Property for Sale in Lot 25, Block 2, Civic Center Drive, Beverly Hills Subdivision, Phase II, Brgy. Kayumangi, Lipa City, Batangas",1,1,0,80,120,,3328600,House
"L-R-1-1140: Acquired Property for Sale in Lot 17, Block 9, Raphael St., Trivea Residences, Phase 1, Brgy. St. Francis I, Limay, Bataan",1,1,0,50,120,,1695000,House
"L-TH-1-201 - Acquired Property for Sale in Lot 8, Block 45, , Calmar Homes Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon",1,1,0,45,60,,1357500,House
"L-R-1-906- Acquired Property for Sale in Lot 25, Block 2, Road Lot 5, Redwood Park Subdivision, Brgy. San Juan, Taytay, Rizal",1,1,0,170,130,,2954000,House
"L-TH-1-213:  Acquired Property  for Sale in Lot 12, Block 25, Mulhouse St., Nouveau Residences, Brgy. Pulung Cacutud, Angeles City, Pampanga",1,1,0,76,72,,2498000,House
"L-R-1-509- Acquired Property for Sale in Lot 16, Block 14, Canyon Ranch Subdivision, Phase 2, Brgy. Lantic, Carmona, Cavite - Sub",1,1,0,52,123,,3296130,House
"Resale 2BR Townhouse in Bagumbong, Caloocan, Metro Manila",1,2,0,60,40.25,Neovista Subdivision,1800000,House
"Foreclosed Property for Sale in Lot 9 Blk 3 Lessandra Heights, Brgy. Molina(San Nicolas), Bacoor, Cavite",1,1,0,40,36,,1576000,House
"L-R-1-499- Acquired Property for Sale in Lot 11, Block 2, Road Lot 3, Mahogany Place Lipa, Brgy. Mataas na Lupa/Kayumanggi, Lipa City, Batangas - Retail",1,1,0,120.92,150,,3918400,House
"L-TH-1-111- Acquired Property for Sale in Lot 18-A, Block 13, Road Lot 18, Palm Spring Subdivision, Brgy. Bocohan, Lucena City, Quezon - Retail",1,1,0,47,60,,1504000,House
"House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2,3,0,104,155,Sunrise Alexa Subdivision,6055000,House
"House and Lot for Sale in Merville Subdivision, Parañaque ",2,3,0,200,369,,24750000,House
"L-R-1-1090-Acquired Property for Sale in Lot 2, Block 9, Fira St., Camella Nueva Ecija, Brgy. Valle Cruz, Cabanatuan City, Nueva Ecija",1,1,0,40,54,,1400000,House
"L-R-1-1018- Acquired Property for Sale in Lot 26, Block 12, Silver corner Platinum Sts., Juana Complex Subdivision, Brgy. Halang / San Francisco, Binan, Laguna",1,1,0,414,192,,8845200,House
"M-R-1-179- Acquired Property for Sale in No. 32 (Lot 5, Block 22), Road 5, GSIS Hills Subdivision, Brgy. Talipapa, Caloocan City",1,1,0,118.16,388,,6528960,House
"V-R-2-49- Acquired Property for Sale in Lot 12, Block 7, Road Lot 5, Regent Pearl Homes (Do",1,1,0,81,100,,1346600,House
"L-R-1-1027- Acquired Property for Sale in Lot 6, Block 6, East Groves St., East Grove, Gardens of Maia Alta Expansion, Brgy. Dalig, Antipolo City, Rizal",1,1,0,91,153,,5437800,House
"Townhouse for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2,2,0,86,60,Sunrise Alexa Subdivision,4000000,House
"N-R-3-4- Acquired Property for Sale in Unit 4520, 5/F, Building 4, One Oasis Davao, Ecowest Drive corner Ecoland Drive, Brgy. Bucana, Davao City, Davao del Sur - Retail",1,1,0,28,,,2557800,House
Dasmarinas Village Makati house for sale sprawling bungalow,5,4,0,650,1441,Dasmariñas Village,619300000,House
"House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2,3,0,89,164,Sunrise Alexa Subdivision,5665000,House
"PVT2019-0091: Townhouse for Sale in Lantic, Carmona",1,1,0,,85,Canyon Ranch,4000000,House
House and Lot Warehouse for Sale in Pasay,8,10,20,500,724,,28000000,House
Single Detached for Sale worth 40M in Casa Milan Fairview - Rey Samaniego,4,4,2,400,300,Casa Milan,40000000,House
"L-R-1-721- Acquired Property for Sale in Lot 9-M, PSD-04-133279, Camia Street, JB Village, Brgy. Tagapo, Sta. Rosa, Laguna - Retail",1,1,0,149,105,,2269700,House
"N-R-3-5 - Acquired Property for Sale in Unit 215, 2/F, Trentino Building, Palmetto Place Condominium, Brgy. Ma-a, Davao City, Davao del Sur",1,1,0,48.46,,,3149900,House
Iris Single Attached - Spanish Mediterranean 3BR House for Sale at Filinvest Homes Butuan in Agusan del Norte | Aspire by Filinvest,1,3,0,62.4,104,Filinvest Homes Butuan,2468189,House
"Foreclosed Property for Sale in No.251 Existing Road, Roxas Subd. Brgy.Ibayo, Marilao, Bulacan",1,1,0,195,144,,2617000,House
"Foreclosed Property for Sale in Unit 6 No. 208, Ortega St., Cor. Luna Mencias St., Goldlane Executive Homes, Brgy. Addition Hills, San Juan City",1,1,0,223,78,,16970000,House
Amber 2BR Townhouse End Unit for Sale at Futura Homes Zamboanga | Futura by Filinvest,1,2,0,40.32,78.4,Futura Homes Zamboanga,1855068,House
"For Sale House and lot 3 bedrooms  in  Asiana Homes Bataan in Cataning, Hermosa",1,3,0,95,120,,4394062,House
"L-S-1-201604-78- Acquired Property for Sale in Block 11A, Lot 8, Camella Quezon, Brgy. Isabang, Tayabas City Quezon",1,1,0,54,80,,1932000,House
Foreclosed Property for Sale in Evp Mansion 2Nd Ave. Cor.3Rd St. Riverside Vill. Pasig City,1,1,0,197,88,,9437908,House
Modern Zen Type Brand new 2 Storey House BF Homes Paranaque,5,5,2,458,312,BF Homes Parañaque,31000000,House
"L-S-1-201604-19- Acquired Property for Sale in Block 8, Lot 6, Kasikatan St., PAMANA HOMES SUBDIVISION, Brgy. Bucal, Calamba City, Laguna - Sub",1,1,0,142.5,188,,3046810,House
Single Attached House and Lot Arya Prime model near Quezon city for sale,2,3,1,99,89,Amaresa 2,4872450,House
"Tulip Single Detached House for Sale at Amarilyo Crest in Taytay, Rizal | Aspire by Filinvest",1,1,0,83,140,Amarilyo Crest,11200000,House
,1,1,0,,,,,House
"L-R-1-252- Acquired Property for Sale in No. 1349 (Lot 12-A, Block 3), Reyna Sima Street, Sitio Valdez, Brgy. San Rafael (Suizo), Tarlac City, Tarlac - Retail",1,1,0,152,190,,1516200,House
"L-R-1-14- Acquired Property for Sale in Lots 3 and 4, Block 4, St. Paula Homes Ph2, Brgy. Libjo, Batangas City, Batangas - Retail",1,1,0,164.57,160,,2117500,House
"L-R-1-33- Acquired Property for Sale in Lot 1, Block 2, corner of Road Lot 4 and Road Lot 7, Sapphire Homes, Brgy. San Jose/Bintog, Plaridel, Bulacan - Retail",1,1,0,144,105,,3171200,House
"Flexi Home Inner B for Sale in SMDC Cheerful Homes, Mabalacat City, Pampanga",1,1,0,22,,Cheerful Homes,1100000,House
"2-Storey House with Balcony and Attic, 3-Bedroom with 2 Car Garage For Sale ",3,3,2,164,136,Acacia Place,15000000,House
"Foreclosed Property for Sale in Block 6, Lot 14,Arayat St Metro Montana Village Brgy Burgos Rodriguez Rizal",1,1,0,175,221,,3220000,House
"Amber Duplex 2BR House for Sale at Futura Homes Palm Estates in Talisay, Negros Occ. | Futura by Filinvest",1,2,1,40.31,84,Futura Homes Palm Estates,1871789,House
"Foreclosed Property for Sale in Lot 2, No. 306 Interior A. Bato St. Barangay 13, Zone 2, Caloocan City,",1,1,0,217.3,59.5,,4074400,House
"Town Villas For Sale RFO at Golf course Dasmariñas in Salawag, Dasmariñas",3,3,1,180,,Orchards Townvillas,6357000,House
"Foreclosed Property for Sale in Block 3, Lot 5 Akasya Street, Equity Homes Vi, Barangay San Isidro,Parañaque City",1,1,0,191,182,,5678050,House
"2 Bedroom Inner Unit Townhouse at Elisa Homes in Bacoor, Cavite (Dahlia Model)",1,2,0,42.4,48,Elisa Homes,2934677,House
"Foreclose Property  for Sale in BLOCK 1 LOT 14, WARNER LOOP STREET, GEORGIA CLUB SUBDIVISION, BRGY. DON JOSE, STA. ROSA CITY, PROVINCE OF LAGUNA",1,1,0,272,240,,13328000,House
"Rush House For Sale in Avida Residences Santa Catalina, Dasmariñas, Cavite",1,2,1,50,113,Avida Residences Santa Catalina,4200000,House
"L-R-1-749- Acquired Property for Sale in Lot 8, Block 17, Road Lot D-24, Woodridge Village, Lakeshore Estate, Brgy. Nueva Victoria, Mexico, Pampanga - Retail",1,1,0,144.64,150,,4250000,House
"L-R-1-722- Acquired Property for Sale in Lot 40, Block 9, Road Lot 16, Camella Cabanatuan Subdivision, Phase 2, Brgy. Mabini Homesite, Cabanatuan City, Nueva Ecija - Retail",1,1,0,110.5,121,Camella Cabanatuan,3420000,House
2 Bedrooms House and Lot at Camella Lessandra Calamba (Ezabelle Model),1,2,0,46,60,Camella Lessandra Calamba,2995000,House
"Walnut 3BR House for Sale at Hampton Orchards in Bacolor, Pampanga | Aspire by Filinvest",1,3,0,50,173,Hampton Orchards,4120128,House
"Brand New BF Homes Modern House for sale in B.F. Homes, Parañaque",5,4,2,380,286,BF Homes Parañaque,34000000,House
"L-R-1-571- Acquired Property for Sale in Lot 22, Block 16, Road Lot 16, The Heights of Wedgewood, Brgy. Minien West, Sta. Barbara, Pangasinan - Retail",1,1,0,77,137,,2636000,House
"L-R-1-900- Acquired Property for Sale in Lot 15159, Pinsal Falls Road, Brgy. Laslasong Sur, Santa Maria, Ilocos Sur",1,1,0,225,1382,,4763300,House
3 Bedroom Unit House for Sale in Sierra Hills Subic Zambales near Baloy Beach,2,3,1,170,140,Sierra Hills,6000000,House
"L-R-1-791- Acquired Property for Sale in Lot 5, Block 2, Alejandra St., Southeast Meadows Subdivision, Brgy. San Roque, San Pablo City, Laguna - Retail",1,1,0,184.46,150,,4310078,House
"L-R-1-955- Acquired Property for Sale in Lot 6, Block 2, Ilocos St., Villas del Pueblo, Brgy. Buli, Taal, Batangas",1,1,0,71,72,,2272800,House
"DIRECT, REFURBISHED & EXTENDED 2022: 10,000sqft Magnificent Mansion",7,6,3,1000,860,Xavier Estates,60000000,House
Captivating Meditterenean-Inspired House and Lot For Sale in Bf Homes Parañaque,5,6,2,500,321,BF Homes Parañaque,29000000,House
3 Bedroom (Astrid Regular) Townhouse Unit for sale at Neuville Townhomes,2,3,0,55.6,52,Neuville Townhomes,2800000,House
"Ready for occupancy House For Sale in Daanghari Alabang in Bayanan, Muntinlupa",4,4,0,237,240,,18000000,House
Glamorous And Massive Mediterranean House and Lot with Swimming Pool For Sale,5,5,2,500,465,BF Homes Parañaque,40000000,House
"Foreclosed Property for Sale in Block 4,Lot 33, Magnolia Street, Gardenia Valley, Brgy Molino III, Bacoor City, Cavite",1,1,0,115,126,,2244250,House
"Foreclosed Property for Sale in Lot 1413-B-16 (No. 17) Menlo 1St Street, New Menlo Subdivision, Brgy. Dalandanan, Valenzuela City",1,1,0,163,180,,2677000,House
Elegant design 2 storey single detached house & lot for sale in betterliving ,5,5,2,236,210,Better Living Subdivision,18500000,House
Greenwoods Executive Village 5 Bedroom Modern House for Sale in Pasig Nr.Ortigas,1,5,2,350,150,Greenwood Executive Village,16000000,House
South Forbes Phuket Mansion 8 Bedroom Modern House for Sale in Silang Cavite,9,8,2,765,351,Phuket Mansions - Cavite,55000000,House
Ayala Heights 5 Bedroom 5BR House and lot for Sale in Quezon City with Pool,5,5,9,2800,1075,Ayala Heights,265000000,House
Brand New Elegant House and Lot for Sale in BF Homes Parañaque,3,4,2,240,182,bf homes,19850000,House
"4 Bedroom Solar-Powered Smart House For Sale in Angeles City, Pampanga",4,4,1,225.69,156,Forest Parkhomes North,16500000,House
"Spacious Modern Bungalow House For sale in Pilar Village, Las Piñas City",3,3,2,180,204,Pilar Village,11800000,House
"L-R-1-999- Acquired Property for Sale in Lot 10, Block 236, Vermillon Drive, Mabuhay City Subdivision, Phase 1-E, Brgy. Mamatid, Cabuyao City, Laguna",1,1,0,161,81,,2941000,House
